,step,electricity price,demand,supply_solar,supply_wind,supply_CCGT,supply_hydro,supply_hydrop,supply_nuclear,supply_waste,supply_ror,supply_LTC,supply_NTC,supply_NTC_FR,supply_NTC_DE,supply_NTC_IT,reservoir_capacity_total_water,reservoir_level,reservoir_level_waste,supply_solar_max,supply_wind_max,supply_CCGT_max,supply_hydro_max,supply_hydrop_max,supply_waste_max,supply_runofriver_max,blackout,demand_met,demand_hydrop,demand_NTC,demand_NTC_FR,demand_NTC_DE,demand_NTC_IT,solar_subsidies,wind_subsidies,hurdle_rate,domestic_tax,import_tax
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.1,10,10
1,730,35.0,8134.716438356164,31.836860491635193,16.174799501073977,396.3023879189277,2369.2511427004733,2004.3638101480637,3234.6575342465753,1.9945205479452055,1718.697703945209,1679.9715932395227,2240.3023724934583,1723.5832423294432,457.2796664730638,59.43946369094029,8799998,4522724.817934245,131506.05981735507,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,13693.552725232947,1165.3463858103387,4393.489901066353,338.49260471680805,1199.7471801063557,2855.25011624316,0.04,0.04,0.1,10,10
2,1460,42.86075174190467,8119.193150684931,40.49681824541269,10.451669545183563,482.26912003757803,451.95769018774735,1329.9701671271987,2070.7397260273974,0.0,1247.6728052465753,1826.8865404128508,3980.4234113005678,2615.87006374979,1032.2095454502314,332.34380210056963,8799998,4085492.595379033,149986.29908676838,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,11440.867948130508,1319.0810680000052,2002.5937294455912,31.513076991071802,208.46785917056738,1762.612793283952,0.04,0.04,0.1,10,10
3,2190,37.55315946,7518.880821917808,102.6939922045856,16.181801735682203,401.4041947594221,335.6230206105294,1693.8091317747324,2280.0,0.0,1620.2926571506841,1478.3086179183128,3427.6588498697756,2167.455038411833,1087.881789647319,172.32202181063397,8799998,4314651.892315804,169402.965753442,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,11355.972266023718,1404.6881370130536,2432.403307092868,65.82022329915314,487.164486759983,1879.418597033733,0.04,0.04,0.1,10,10
4,2920,29.104897719570328,6702.8328767123285,236.83682062789862,20.45432037144111,158.9763654273962,456.4597934455608,1734.2893842605422,2280.0,0.0,1897.7501919589033,470.3321471381241,3464.791469345265,2451.0608374826165,857.1460554631366,156.5845763995189,8799998,4768007.79982939,188819.63242011506,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,10719.890492575118,1524.7268286182896,2492.3307872445066,79.23754245369447,1097.3481397546602,1315.7451050361624,0.04,0.04,0.1,10,10
5,3650,27.93189946,6530.609589041096,245.3424752201835,20.49373090415343,0.0,1418.419115027138,2072.5026823743033,2138.9989808092478,0.0,3196.509777643838,0.0,1924.0319825084919,1289.9356208405943,515.6261152825089,118.47024638538564,8799998,5388737.909116733,208236.29908678614,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,11016.29874448734,1303.5744607209904,3182.114694725275,201.92879730445762,2478.9115915714383,501.2743058493652,0.04,0.04,0.1,10,10
6,4380,29.587289459999997,6569.768493150685,302.59485184695876,13.866391272624663,0.0,3248.8862456992924,2375.8285275902203,2176.4543852780453,0.0,4107.165127520547,0.0,998.480016119143,897.760415581812,25.12565039960767,75.59395013772327,8799998,5701758.892469677,227652.96575345707,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,13223.275545326871,951.8492973470982,5701.657754829058,482.7540839699902,4047.966265753935,1170.937405105131,0.04,0.04,0.1,10,10
7,5110,35.07876794172989,6435.6506849315065,302.3283635442422,17.950142327561633,38.029823384950134,3588.427636562469,2397.8086448180275,1035.0,0.0,3755.6163868630165,46.15726461862411,1536.9592842805419,1067.6953825076928,460.14609993283545,9.117801840012053,8799998,5377228.833566521,243255.6945017951,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,12718.27754639948,954.5708780771738,5328.055983390795,460.28044511413236,2986.6052953223702,1881.1702429542681,0.04,0.04,0.1,10,10
8,5840,35.244316889217494,6434.946575342466,324.9008104853595,13.094959688427393,4.002287805995891,2162.252533690648,2154.210115371484,1641.529629306733,0.0,3786.8376382739716,0.0,1609.0796181333512,1167.4523966736467,430.067600050777,11.559621408926585,8799998,5194074.091328939,244608.0,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,11695.907592755959,1121.1763688748965,4139.784648538609,428.26941039443176,2990.056298584746,721.4589395594327,0.04,0.04,0.1,10,10
9,6570,45.33397300050601,6755.280821917808,232.49831449546687,18.422653905578077,415.52836070689995,2223.38539917713,2161.4271170892534,1130.7328767123288,0.8986301369863013,3093.366961520547,1470.1406197054146,1703.333542612712,816.9140624456198,880.345661193821,6.07381897326959,8799998,4741561.03752458,244599.64784972955,1394.0,60.0,540.0,8746.0,3763.0,364.0,4633.0,0.0,12449.734476062291,1194.6536872827332,4499.799966861775,551.376074638512,2548.565836444697,1399.8580557785642,0.04,0.04,0.1,10,10
