Step,AgentID,x,y,Agent type,Issuetree
0,0,0,4,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.7937626100359249, 0.7637315314550702, 0.69], [0.9711480237613496, 0.9579815139135853, 0.31], [0.9970433007223067, 0.9543908900206807, 0.251], [0.7250168133812331, 0.7200814732394201, 0.004], [1.0, 0.9593828713166056, 0.239], [0.996637833976807, 0.9701288070745883, 0.156], [0.8909109603462846, 0.9524697808254836, 0.351], [0], [0], [0.0], [0.75], [0.25], [0.03737322208043981], [0.0], [0.25], [0.0], [0.25], [0.291713756498114], [0.291713756498114]]"
0,1,7,6,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.7937626100359249, 0.7637060903959895, 0.685], [0.9711480237613496, 0.9576687414515302, 0.315], [0.9970433007223067, 0.9577840700554074, 0.218], [0.7250168133812331, 0.7199549399459829, 0.004], [1.0, 0.9416988365813731, 0.323], [0.996637833976807, 0.980935494958123, 0.087], [0.8909109603462846, 0.9572196466427962, 0.368], [0], [0], [0.0], [0.75], [0.25], [0.03737322208043981], [0.0], [0.25], [0.0], [0.25], [0.29252044149454837], [0.29252044149454837]]"
0,2,1,2,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.7937626100359249, 0.7637201865079786, 0.622], [0.9711480237613496, 0.953378280276408, 0.378], [0.9970433007223067, 0.9525131636661823, 0.279], [0.7250168133812331, 0.7201146785134495, 0.004], [1.0, 0.9566356346305231, 0.272], [0.996637833976807, 0.9857406667428118, 0.068], [0.8909109603462846, 0.9525345305862233, 0.378], [0], [0], [0.0], [0.75], [0.25], [0.03737322208043981], [0.0], [0.25], [0.0], [0.25], [0.29170091798195225], [0.29170091798195225]]"
0,3,6,2,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.7937626100359249, 0.7637089337920053, 0.549], [0.9711480237613496, 0.9471304533489647, 0.451], [0.9970433007223067, 0.9437242164279067, 0.299], [0.7250168133812331, 0.7209715040722224, 0.023], [1.0, 0.9533731150492348, 0.262], [0.996637833976807, 0.98220165012829, 0.081], [0.8909109603462846, 0.9524878387278275, 0.335], [0], [0], [0.0], [0.75], [0.25], [0.03737322208043981], [0.0], [0.25], [0.0], [0.25], [0.2917688137480034], [0.2917688137480034]]"
0,4,8,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637065870035753, 0.549], [0.9711480237613496, 0.9470774760734382, 0.451], [0.9970433007223067, 0.9413370294841058, 0.298], [0.7250168133812331, 0.7227059459102243, 0.012], [1.0, 0.9573980445263899, 0.228], [0.996637833976807, 0.9708189074392584, 0.138], [0.8909109603462846, 0.9514707675971102, 0.324], [0], [0], [0.0], [0.75], [0.25], [0.02444196696583557], [0.0], [0.25], [0.0], [0.25], [0.2834185599521323], [0.2834185599521323]]"
0,5,7,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.763732451529992, 0.549], [0.9711480237613496, 0.9470618551002732, 0.451], [0.9970433007223067, 0.9463810101341582, 0.285], [0.7250168133812331, 0.7300057835527132, 0.028], [1.0, 0.9433085343565595, 0.319], [0.996637833976807, 0.9868773345476541, 0.055], [0.8909109603462846, 0.9486199258139401, 0.313], [0], [0], [0.0], [0.75], [0.25], [0.024477767806309482], [0.0], [0.25], [0.0], [0.25], [0.2834210712819783], [0.2834210712819783]]"
0,6,2,5,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637239672793367, 0.549], [0.9711480237613496, 0.9470652499675121, 0.451], [0.9970433007223067, 0.9460759156820877, 0.282], [0.7250168133812331, 0.7215688551863793, 0.019], [1.0, 0.9527485603662214, 0.262], [0.996637833976807, 0.9840874553991951, 0.07], [0.8909109603462846, 0.9571813928758658, 0.367], [0], [0], [0.0], [0.75], [0.25], [0.02445023705833012], [0.0], [0.25], [0.0], [0.25], [0.28341648936095026], [0.28341648936095026]]"
0,7,8,1,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637317423125048, 0.642], [0.9711480237613496, 0.9547745139702905, 0.358], [0.9970433007223067, 0.9560336820595448, 0.235], [0.7250168133812331, 0.7261539374371203, 0.007], [1.0, 0.9488423797487525, 0.293], [0.996637833976807, 0.982681592267537, 0.08], [0.8909109603462846, 0.9583875423933527, 0.386], [0], [0], [0.0], [0.75], [0.25], [0.024479042333269745], [0.0], [0.25], [0.0], [0.25], [0.28352117733039556], [0.28352117733039556]]"
0,8,3,7,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637296845192675, 0.669], [0.9711480237613496, 0.9566597894898607, 0.331], [0.9970433007223067, 0.9579736266959772, 0.235], [0.7250168133812331, 0.730344864972547, 0.053], [1.0, 0.9515443987656587, 0.291], [0.996637833976807, 0.9820281619766624, 0.088], [0.8909109603462846, 0.9488926095802848, 0.333], [0], [0], [0.0], [0.75], [0.25], [0.02444196696583557], [0.0], [0.25], [0.0], [0.25], [0.28369546772679033], [0.28369546772679033]]"
0,9,2,3,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7636882224250503, 0.571], [0.9711480237613496, 0.9490765228821785, 0.429], [0.9970433007223067, 0.9517534462523725, 0.254], [0.7250168133812331, 0.7295431558505336, 0.051], [1.0, 0.9509465137581327, 0.275], [0.996637833976807, 0.9787079492367209, 0.1], [0.8909109603462846, 0.9489609029954694, 0.32], [0], [0], [0.0], [0.75], [0.25], [0.024592928253336654], [0.0], [0.25], [0.0], [0.25], [0.2834516426558068], [0.2834516426558068]]"
