Step,AgentID,x,y,Agent type,Issuetree
0,0,5,5,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.318, 0.7695525615898611, 0.565], [0.058, 0.14576466743158942, 0.11], [0.543, 0.80394485031712, 0.326], [0.575, 0.8578925379475205, 0.394], [0.56, 0.25477803160761897, 0.225], [0.465, 0.6868932937881516, 0.381], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,1,8,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.318, 0.7696199203140721, 0.563], [0.058, 0.14567716032040132, 0.109], [0.543, 0.8066936886798176, 0.328], [0.575, 0.8578960767410123, 0.392], [0.56, 0.24809696126361894, 0.228], [0.465, 0.6868497366651024, 0.38], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,2,1,4,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7696198218813936, 0.563], [0.058, 0.1458972346275236, 0.109], [0.543, 0.8062639306345969, 0.327], [0.575, 0.8606949207950235, 0.392], [0.56, 0.2439416691429539, 0.229], [0.465, 0.689898293799415, 0.38], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,3,4,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7696219167266541, 0.561], [0.058, 0.14579242673206771, 0.109], [0.543, 0.8093567094682063, 0.33], [0.575, 0.8606882513135369, 0.393], [0.56, 0.2536126769597817, 0.225], [0.465, 0.6898947268912375, 0.382], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,4,0,6,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7696202001620759, 0.568], [0.058, 0.1456667394302013, 0.11], [0.543, 0.7995983682706299, 0.322], [0.575, 0.8606998939153502, 0.396], [0.56, 0.25579138109987154, 0.224], [0.465, 0.6898806390644915, 0.38], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,5,8,9,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.769551603201164, 0.561], [0.058, 0.14590718496887214, 0.109], [0.543, 0.8087614702442584, 0.33], [0.575, 0.8606615463478009, 0.394], [0.56, 0.2585759081590325, 0.223], [0.465, 0.6898793364987175, 0.383], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,6,0,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.318, 0.7190819740971608, 0.475], [0.058, 0.34469461337017343, 0.344], [0.543, 0.6944193608527818, 0.182], [0.575, 0.8326276773207945, 0.429], [0.56, 0.6282398223184573, 0.195], [0.465, 0.6590371321354779, 0.376], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,7,7,3,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7191714789632205, 0.475], [0.058, 0.34430771118734965, 0.343], [0.543, 0.6946891077647375, 0.182], [0.575, 0.8301491455280217, 0.429], [0.56, 0.6259277681021173, 0.194], [0.465, 0.6561938638140348, 0.376], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,8,4,8,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7190981417761576, 0.467], [0.058, 0.3579199416798152, 0.354], [0.543, 0.6946534154961609, 0.179], [0.575, 0.8300875338728614, 0.427], [0.56, 0.6287841971295384, 0.199], [0.465, 0.6561609074906505, 0.374], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,9,9,9,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7191243862062531, 0.469], [0.058, 0.35379415713596585, 0.351], [0.543, 0.6946089998312918, 0.18], [0.575, 0.8300800358060146, 0.427], [0.56, 0.6289455103365521, 0.198], [0.465, 0.6562197487207633, 0.375], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,10,8,5,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.318, 0.7189816122270563, 0.477], [0.058, 0.340996097753853, 0.341], [0.543, 0.6945300555709752, 0.183], [0.575, 0.8301664943758434, 0.428], [0.56, 0.6370609180172779, 0.198], [0.465, 0.6562234493420626, 0.374], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]"
0,100,1,0,<class 'model_PE_agents.ElectorateAgent'>,
0,101,8,2,<class 'model_PE_agents.ElectorateAgent'>,
0,50,9,3,<class 'model_PE_agents.TruthAgent'>,
0,1001,4,7,<class 'model_PE_agents.Coalition'>,"[[None, None, None], [None, None, None], [None, None, None], [None, None, None], [None, None, None], [None, None, None], [None, None, None], [None], [None], [None], [None], [None], [None], [None], [None], [None], [None], [None], [None]]"
